职位名称,职位薪资,员工福利,招聘条件,公司位置,职位描述,公司介绍,课程介绍,培训机构介绍,公司名称,公司业务,公司规模,简历查看率,招聘职位,加入58
装卸/搬运工,5000-8300元/月,求职保障;话补;年底双薪;五险一金;包住;包吃;长白;朝9晚6;环境好,"招50人;学历不限;经验不限,可接收应届生",广州-黄埔-夏园 广州全部地区一以及周边各省市,"一、招聘长期工短期工
二、我们仓主要为日常生活用品，如肥皂，沐浴露，卫生纸等等。岗位：主要为收货、、上架、打包、扫码等岗位；
三、招聘要求：年龄18-40周岁、男女不限;身体健康无心脏病及任何传染性疾病无残疾、无犯罪记录
四、工作时间：月休4天，根据排班出勤（10小时含吃饭及中途休息，忙时多于11小时）
五、薪酬福利说明：长期工底薪1400元+3800-5500元绩效+餐补360元+补助500-700+全勤50+防寒防暑每个月300元=综合工资6000-7500以上.员工按时出勤（无请假、旷工等行为，工作量正常）
六、一个月后转正后享有待遇
1.公司按照国家规定与员工签订劳动合同，转正后（五险一金）
2.免费发放工服
3、不住宿有100房补。
七、住宿说明（公司免费提供住宿）、床上用品及生活需自理宿舍4人间
公司提供食宿，有空调热水器。
上班时间：两班倒，可长白班，具体上班时间按现场管理人员安排",人力资源管理咨询;人力资源服务外包;人力资源供求信息的收集和发布;人力资源培训;人力资源测评;劳务承揽;人力资源外包;就业和创业指导;以服务外包方式从事职能管理服务和项目管理服务以及人力资源服务和管理;接受委托从事劳务外包服务;业务流程外包;人才信息网络服务;人才择业咨询指导;人才推荐;人才测评;收集、整理、储存和发布人才、职业供求信息;职业指导;职业信息服务;,,,北京创赢天地人力资源有限公司（创赢天地）,人力资源服务,100-499人,78,366,10月
普工,5200-7200元/月,加班补助;饭补;交通补助;话补;房补;年底双薪;包住;包吃;五险一金;长白班工作轻松;公寓空调宿舍;包吃包住,"招200人;学历不限;经验不限,可接收应届生",广州-天河-棠下 广州市天河区棠下,"感谢您能看到我们工厂的招聘信息：
报名欢迎致电招募部
一、温馨提示
1、如果你身上没钱吃饭、没钱住旅馆，带上身份证及随身行李，到我们厂区优先免费安排你吃住；
2、公司承诺本次招聘全程免费，不收取求职者任何费用；当天安排食宿及岗位。
二、招聘要求
1、男女不限，年龄18~40岁，身体健康，听从安排，活动灵敏；
2、持本人有效身份证，无大面积纹身及伤疤。
三、主要工作
1、主要做电子产品的配件，耳机，数据线，手机外壳等等；
2、单独作业，简单组装、装配、检测、包装、贴标签，100%坐班；
3、将标签分类，挑选好的标签，进行贴标签，不好的不用，把破损的标签挑出来；
4、工作简单轻松，劳动强度较低，无需工作经验，入职会有老员工带教，一看就能学会的工作！
四、工资待遇
1、小时工：18~20元/时，260-300个工时/月，月综合工资5000-6500
2、正式工：底薪2200+加班费+福利；
5天8小时制，一天加班2小时（自愿的）；
平时加班1.5倍（20元/小时）；周末加班2倍（27元/小时）；假节日3倍（40元/小时）；
+绩效奖（200元）+全勤奖（200元）+高温补贴（150元）=4900元（加班越多工资越高）
正式工转正：底薪2650-4150+加班费+福利
平时加班1.5倍（23元/小时）；周末加班2倍（31元/小时）；假节日3倍（46元/小时）；
+绩效奖（200元）+全勤奖（200元）+高温补贴（150元）=5600元（加班越多工资越高）
每月综合工资：4900-6000元/月；
每月15号准时发工资，离厂结清；
五、福利
进厂与公司签订合同可购买（社保+五险一金）；
每年一次考核加薪，考核合格加薪幅度为200--500元，
入职越久底薪越高。年底（双薪）及年终奖金3000-4000元。
注：做短期可不用购买五险一金，工资实实在在拿到手
六、食宿方面
1、食堂：设有大型员工餐厅，可满足员工多样化的用餐需求。
2、住宿：6人间，有空调，wifi，热水器，独立卫生间等等。
(秉承着职员睡得好，吃得香，才能做得精的原则)
七、工作时间（月休4天）
长白班：早8点到晚8点；
两班倒：晚8点到早8点；
中间均有休息吃饭时间
-------------------------
本厂一直女多男少，百花盛放，急需补充大量男工，热切期待你的加入
【报名方式】
1、拨打电话：点击查看联系电话，电话咨询人事
2、短信报名：姓名+年龄+报到日期发送人事
3、投递简历：收到简历后我们会*时间联系你","捷普是一家提供电子产品解决方案的公司，专门为电子公司和高科技公司提供全面的设计、制造和产品管理服务。捷普通过遍布*的产品供应链，不仅加快电子产品投放市场的速度，而且有效地降低了产品价格。通过*20个国家的分支机构及85,000多名员工，捷普为各行各业提供全面的以客户为中心的解决方案。
在电脑外围设备、数据传输、自动化及消费产品等多个领域，捷普集团向*各地的客户提供从设计、开发、生产、装配、系统技术支持及到较终用户分销等优质服务。凭借强大的技术优势、锐意创新的专业态度和尽善尽美的服务精神，捷普集团一直处于国际市场领先地位，拥有分布在美洲、亚洲及欧洲等超过55个高度自动化的生产基地，资金、技术实力雄厚，主要客户包括：HP、Philips、Emerson、Cisco、Xerox、GE等国际知名企业。",,,捷普（广州）电子有限公司,电子技术/半导体/集成电路,100-499人,-1,0,13月
产品/包装设计,4500-6500元/月,求职保障;年底双薪;周末双休;交通补助;五险一金;饭补;话补,"招3人;学历不限;经验不限,可接收应届生",广州-番禺-市桥 广州番禺市桥捷进二路11号沙建广场,"招电商美工设计人才，不会的可由公司老美工带着学。
前景：由于网购面对的消费人群更大，未来二十年还将是网购的天下，纵观所有网购的核心，在于电商“网店装修”美工技术，发展前景无限量，晋升空间大。
岗位职责：
1、负责网店的设计装修、更新，美化商品图片；
2、负责公司产品文案描述添加、排版、摄影；
3、后台的熟练操作，PS，DW，PR的熟练运用；
职位要求：
1、年龄18-32岁（未满18周岁勿投），专业不限、学历不限、经验不限，肯学有师傅带；
2、不会可以培养，要有上进心，勤奋注重长远发展的上进青年；
3、热爱电商行业工作，性格开朗，想要有一份稳定的工作，对电商网店设计这个行业感兴趣。如果只图安逸勿投简历
工作时间：早9：00-下午17：00不加班，单双轮休，法定节假日正常休息。
有兴趣者请投递简历或者电话咨询。（非诚勿扰！）",我们公司是做电商美工网店设计公司，有自己的平台网店，并致力于电商设计企业，专注于电商网站的视觉风格设计，目前企业拥有大批优秀人才，全力打造电子商务服务平台，为员工提供舒适、良好的工作环境，和可观的薪资待遇，工作时间：早9晚5不加班，单双休，提供吃住、欢迎加入！休息时间请投递简历，公司hr会尽快联系您，非诚勿扰！以后也是电子商务的时代了，我在想如果想要不被社会所淘汰，在这个新兴的行业里，也要有自己的一席之地。,零基础速成;名企就业;免费试听;包就业;推荐就业;面对面;名师授课;高薪就业;线下授课;广州番禺市桥捷进二路11号沙建广场,我们公司是做电商美工网店设计公司，有自己的平台网店，并致力于电商设计企业，专注于电商网站的视觉风格设计，目前企业拥有大批优秀人才，全力打造电子商务服务平台，为员工提供舒适、良好的工作环境，和可观的薪资待遇，工作时间：早9晚5不加班，单双休，提供吃住、欢迎加入！休息时间请投递简历，公司hr会尽快联系您，非诚勿扰！以后也是电子商务的时代了，我在想如果想要不被社会所淘汰，在这个新兴的行业里，也要有自己的一席之地,广州云升文化传媒有限公司,互联网/电子商务,100-499人,-1,98,8月
销售代表,5000-8000元/月,五险一金;年底双薪;房补;话补;交通补助;饭补;加班补助,"招10人;学历不限;经验不限,可接收应届生",广州 马鞍山公园地铁站D出口50米大运家园分行,"【公司福利】
大专以下学历保障底薪5600（4100保障底薪+1500真服务津贴），大专底薪6400（4900保障底薪+1500真服务津贴），本科7200（5700保障底薪+1500元真服务津贴）.外加55%-80%业绩奖金。
除了免单入职、五险一金、高提成之外。优秀经纪人还享有一线城市户口指标和免费出国旅游，年假，产假，社保，住房公积金,iphoneX等高端智能手机、并提供高额话费等等待遇。
【团队介绍】
1）、本店位于广州较多高档小区、花园——海珠区东晓南地铁附近“鸣翠分行”
2）、团队以独有的培训方式和方向性指导，在全行业都不景气的情况下，以优异的成绩，做到集团龙头门店。
3）、团队于2015年建立已历时3年，目前团队成员50余人；其中60%以上人员年薪在30万以上；拥有含奥迪等品牌轿车5台以上，三分之一成员已购房。
4）、团队为集团发展较快，用3年的时间超越集团发展7、8年的团队，培养管理人员数量较多，稳居集团前列。
【任职要求】
人要成功，就要把自己放在一个成功的环境里面，好水酿好酒，好土造好壶，好团队才能造就成功人。我们不管你之前做什么，不管你是什么学历。我们只需要你具备：
1、不甘平凡，不甘平庸，想通过自己的努力从平凡的生活走向社会顶层的决心。
2、有着发自骨子里面的强烈的赚钱欲望和强烈的成功欲望的决心.
3、自信，乐观，豁达，有团队意识和服从意识。因为一个成功的团队，必然是一个纪律严明，要求严格，并有着特有的成功模式的团队。
4、勇于学习，勇于改变，勇于承担，勇于付出。因为你只有打破原有的思维和习惯，才能接受更好的思想和理念，才能学到更多成功的经验。
5、拥有一颗创业的心，愿意和团队一起长期发展，并将这份工作当成终身的事业。
乐有家控股集团发展较快,月月排名前三甲的王牌销售团队诚邀您的加入!我们不缺成功的经验,只缺少有志向及抱负的您!
以上信息绝对真实，如有兴趣可投简历或电话联系！
【资深销售员寄语】
我们这里没有朝9晚5，但我们这里有月入几万的收入；
我们这里没有双休，但我们这里人有的是豪车豪宅；
我们这里没有富二代，我们这里只有富一代；
我们这里没有包吃住，我们这里只有高收入；
我们这里不缺人，我们这里缺人才。",深圳市乐有家房产交易有限公司是乐有家控股集团旗下专注于国内房地产租售业务的服务平台。主要提供新房、二手房、租房的置业服务，是国内集线上、线下于一体的专业房产交易服务电商平台。由颇具行业影响力的互联网团队结合传统房地产行业特点，构建出的一套符合行业特性的诚信房地产服务平台。乐有家房源网始终致力于高效、便捷、智能找房，节省客户的找房时间和精力，让交易安心顺心；帮助业主、开发商省心放心地出售房源；跟随国家脚步努力为房地产行业注入自己的一份力量，帮助行业朝着健康、可持续的方向发展。目前，乐有家房源网的业务范围已遍及深圳、广州、珠海、东莞、中山、惠州、江门、肇庆等多个城市，自2013年上线以来，在消除中介服务痛点，打击虚假房源、黑心中介服务等多方面取得了喜人的成绩，已发展成为备受市民百姓喜爱的一款线上“找房”应用。通过不断革新的互联网IT技术，配合强大的大数据处理能力，已建立起了一套优质的房产生态体系。乐有家房源网已实现一键约看、一键委托、一键出售、地图找房等一系列高效即时匹配的功能，成为业主、客户、经纪人之间不可或缺的衔接桥梁。,,,广州市乐有家房产经纪有限公司,财务/审计+房地产/物业管理+咨询/顾问,1000人以上,81,61,23月
淘宝其他,6000-8000元/月,五险一金;包住;包吃;年底双薪;周末双休;交通补助;加班补助;饭补;话补;房补,"招6人;学历不限;经验不限,可接收应届生",广州-海珠-晓港 广州海珠晓港附近,"每个人都有属于自己不一样的美,独特的美。只要你喜爱这行业，只要你有足够的自信，还会担心没有适合你的舞台吗？只要你拥有自信，只要你敢于发现自我，就有机会展示出你自己。
岗位职责：
拍摄新款服装，样板婚纱，各种风格服装，时尚包包，流行饰品，香水等产品。
职位要求：
gg：身高160cm以上，阳光帅气,形象好，气质佳.有无经验者均可。
mm：身高153cm以上，能穿高跟鞋，化妆不过敏,喜欢拍照,能配合拍摄即可。只要你有自信，欢迎大家的加入。
为了与你更好的沟通与避免重复预约，请不要重复或者多投简历，担心以后拍摄方面，工作会有冲突.公司喜欢专一的人！
有无经验均可,有意者直接发消息或者投简历！
工作时间：每天拍摄1到3小时，跟你个人时间和公司活动协调拍摄，面试以后可以根据个人意愿就近取景安排",经营范围：一般项目：组织文化艺术交流活动；文化娱乐经纪人服务；摄影扩印服务；文艺创作；会议及展览服务；礼仪服务；企业形象策划；日用品零售；专业设计服务；图文设计制作（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,,,南京博钦文化传媒有限公司,其他行业,50-99人,-1,305,20天
房产经纪人,6000-10000元/月,五险一金;包住;年底双薪;话补;交通补助;房补;带薪培训;师傅一对一带;发展晋升快,"招10人;大专;经验不限,可接收应届生",广州-天河-龙口东 广州天河区龙口东路346号天诚广场3楼318,"【岗位职责】
1、了解客户的相关背景情况，为客户提供咨询服务，并为其设计切实可行的购房方案；
2、维护新增房源数据，维护公司内部房源信息系统的新增房源数据；
3、陪同客户看房，并帮助客户了解房源信息；
4、促进业主与客户之间买卖或租赁交易的达成；
5、进行买卖或租赁交易过程的跟进及房屋过户手续办理等服务工作；
6、面对面销售工作，参与公司代理的一手楼盘联动销售（含豪宅、商铺、写字楼、别墅等）。
【任职资格】
1、统招全日制大专及以上学历，年龄在20-40岁，有无经验均可；
2、形象端正，性格开朗，有良好的沟通表达能力、亲和力；
3、责任心强，具有良好的团队管理和沟通能力。
4、热爱销售，愿意挑战高薪，自我调节能力良好并能承受一定工作压力。
【薪酬福利】
1、统招全日制大专底薪5500；开单奖励，多劳多得，上不封顶；
2、五险+节假日福利+带薪年假+购房优惠+专业培训+师傅带教+国内游/境外游+下午茶等
3、完善的带薪培训机制，专业课程研发团队，入职配备师傅带教，全方位提升您的综合能力。
【培养机制】
a.封闭式课程培训；
b.一对一带教体制；
【晋升机制】
1.横向晋升（业务层面）：随着职位级别的增高，工资提成点也会增高；
2.纵向晋升（管理层面）：房产经纪人---业务经理---营业经理---店长---销售总监","广州天创房地产置业有限公司,成立日期:2018年01月10日,经营范围:房屋租赁;场地租赁（不含仓储）;物业管理;房地产中介服务;房地产咨询服务;市场营销策划服务;,企业注册地址:广州市天河区龙口东路354号318自编A房;诚挚邀请您的加入！——数据来源58同城招聘",,,广州天创房地产置业有限公司,房地产/物业管理+咨询/顾问,100-499人,81,44,11月
销售经理/主管,薪资面议,话补,"招5人;中专;经验不限,可接收应届生",广州-天河-东圃 广州天河东圃天银商贸大厦24楼,"工作内容：1、组建个人核心团队，跟进团队人员的绩效考核，完成个人考核目标。
2、培训团队成员公司文化、业务知识、管理知识等
3、不断提升自己的综合能力，匹配管理层的素质
4、负责公司优质客户的后续客户服务工作(提醒续保，更改投保人，添加受益人，更改联系方式等等）
职位要求：1、年龄22~45岁，学历高中及以上
2、有意向往管理方向发展，有团队协作精神。
3、虚心学习，耐心教授，有一定的自主学习能力。
4、欢迎广大应届毕业生踊跃投递，有无工作经验均可。
入职即定级主管，直接拿高薪酬高奖励，有兴趣投递简历详谈！
工作时间：早上8:30~12:00周一~周五",中国人寿保险股份有限公司是中国较大的寿险公司，总部位于北京，注册资本282.65亿元人民币。作为《财富》世界500强和世界品牌500强企业—中国人寿保险（集团）公司的核心成员，公司以悠久的我历史、雄厚的实力、专业领先的竞争优势及世界知名的品牌赢得了社会较广泛客户的信赖，始终占据国内保险市场领导者的地位，被誉为中国保险业的“中流砥柱”。公司业务范围：寿险，财险，车险，电子商务，养老，安保基金，证劵，银行，投资，贷款，行用卡，海外公司！福利：双休，国家节假日，医疗保险，养老保险，海内外旅游！待遇：责任底薪（较高10000）创业津贴奖金佣金培育奖金（国寿优才待遇优厚）,,,中国人寿保险股份有限公司广州市分公司,保险,1000人以上,18,11,9月
送餐员,8000-12000元/月,加班补助;话补;优秀骑手奖励金;各种福利+单价高;可以提供住宿,"招20人;学历不限;经验不限,可接收应届生",广州-天河-龙洞 广州天河龙洞购物中心,"公司急聘轻松过万外卖送餐员，月均8000-12000元。上不封顶，时间自由，收入稳定
一、薪资福利
1、提供电车、入职即购买保险
2、高温补贴、冲单量补贴、大额订单补贴、恶劣天气补贴，满勤奖励,优秀员工奖励，夜宵订单补贴，各种过节福利。
3、综合薪资：平均8000-12000元/月上不封顶，订单量大，多劳多得。综合每单在8-10元，
4、公司配备：头盔、工服、餐箱等；没车公司可安排；
二、招工要求
1、工作时间：10：00-14:00，18：00-21：00（空闲时间安排休息，有员工宿舍）
2、男女不限，年龄18-45周岁(年龄不能超过50周岁)；
3、会骑电动车、会用智能手机；
4、经验不限、学历不限，能吃苦耐劳!
5、有上进心、责任心、赚钱欲望强。
6、有健康证（可入职后办理）（各大医院有效期内都可以）
三、岗位职责
1、及时接收客户外卖订单（不熟悉路线，外卖软件自带导航）；
2、接到外卖订单后及时前往商家拿取外卖，送到客户手中
四、晋升机制
1、定期为员工进行培训；
2、公司处于发展期，优秀员工可晋升：骑士--组长--站长--督导--经理；
五、工作地址：
工作地址地址不限，可以就近安排工作。","我公司始终坚持于“诚信”的经营理念，“优质高效、开拓创新”的企业精神。凭着良好的商业道德，周到的服务企业和求职者，以己任来维护求职者的切身利益，赢得广大客户的信赖支持。全国有多家大中型企业与本公司有良好的合作关系，通过努力，业务已覆盖全国一线城市，二线及其三线城市，为求职者和企业提供优质的服务，被工商局评为“信得过文明经营单位”及“重合同、守信用”等多种荣誉单位。到目前为止已经发展成为全国实力较强、规模较大、业务较全的用工单位之一。
我公司始终坚持于“诚信”的经营理念，“优质高效、开拓创新”的企业精神。凭着良好的商业道德，周到的服务企业和求职者，以己任来维护求职者的切身利益，赢得广大客户的信赖支持。全国有多家大中型企业与本公司有良好的合作关系，通过努力，业务已覆盖全国一线城市，二线及其三线城市，为求职者和企业提供优质的服务，被工商局评为“信得过文明经营单位”及“重合同、守信用”等多种荣誉单位。到目前为止已经发展成为全国实力较强、规模较大、业务较全的用工单位之一。",,,广东省世创实业投资有限公司,娱乐休闲/餐饮/服务,100-499人,100,218,1月
普工,6000-8000元/月,求职保障;加班补助;饭补;交通补助;话补;年底双薪;周末双休;包吃;包住;五险一金;房补,"招200人;学历不限;经验不限,可接收应届生",厦门-翔安-马巷 厦门翔安马巷45号,"厦门电子厂小时工20每小时
招聘：临时工/普工/长期工，无需经验，无需体检。
工作地点厦门翔安
一：小时工工资待遇
1、小时工20元每小时(不包吃包住，
2、每月有：280-330个工时。
3、小时工收入：6000以上
每月中旬左右准时发放上月工资，加班比较多，平均一天上10一12小时左右
不包吃住，每月285工时左右，基本上每个月300-360工时，每月综合工资4500-5500元
1、男女不限：16-45岁
2、有本人二代身份证，在有效期内。
3、两班倒，坐班，穿无尘服。
4、身体健康，没有大面积纹身。
四：工作内容
工厂岗位生产手机电视机屏幕
五：车间环境
1、车间配有中央空调（冬暖夏凉）。
2、上班气氛好、管理宽松。
当天应聘请带好身份证及复印件三张照片三张照片大小一寸都可以的","欢创人力集团成立2017年5月，前身是广州欢创劳务派遣有限公司。集团总部位于广州番禺。历经多年时间的持续摸索创新，在巩固基础业务的同时，大力开发创新，已从传统的人力资源外包服务公司，发展成为拥有移动互联网思维，并建立了数据库，研发自主平台、全面实现人力资源平台式服务的新型人力资源服务公司。企业秉承着“诚信为本、创新服务、敢于挑战、追求卓越”的经营理念以及“与客户、员工欢乐共创，实现共赢”的价值观，致力于为企业客户和员工提供高品质、高效率、专业化的人力资源服务。
近年来，随着业务的蓬勃发展，、集团规模的快速扩张，服务体系也日益成熟，为了更好地为客户提供本土化的优质服务，欢创人力集团已成为全国性公司，并在深圳、惠州、佛山、清远、成都、大连、西安、贵阳、广西等全国各地开设了多间子公司、分公司等，逐步建成了一个规模庞大的专业化人力资源服务网络。
本公司长年致力于为一些大型电子厂、玩具厂提供男女普工、临时工，公司亦可派出大量男女普工作业员到贵厂帮忙突击赶货。同时，公司与省内外几十余所中等以上技校、中专、职校以及合法职业中介结构有着劳务协作关系。现今以向东莞、深圳、珠海、中山、佛山等地区派遣各类人员万余人，且本公司员工受到各用人单位的好评。
此外，本公司为各大世界500强公司招聘客服、文员、销售等职位，客户包括百度、汇丰银行、渣打银行、友邦保险、中国平安等。
我们非常欢迎用人单位与本公司建立劳务合作关系，并提出宝贵意见。我们将积极配合用人单位做好招聘事宜。",,,广州欢创人力资源集团有限公司,人力资源服务,100-499人,100,507,12月
普工,6000-8000元/月,包住;包吃;年底双薪;交通补助;加班补助;饭补;房补;五险一金,"招50人;学历不限;经验不限,可接收应届生",广州-黄埔-开发西区 广州黄埔区骏成路,"捷普电子高薪诚聘正式工，小时工！坐班！免体检！
本次招聘属人事部免费急招，月收入5500元以上！包进厂。
招聘岗位：（男女不限，18-45岁）
普工、操作工、品检、质检、检测、组装、包装、测试（不合适可以调换岗位。）
【工资待遇】
小时工：
18-19.2元/小时（204-220元/天），（住宿水电费全免），包住提供吃，吃饭3.14元起一餐。（住宿水电费全免），每个礼拜可以借资200左右。
【月综合收入5000元左右】
正式工：
底薪2110元+生活补贴230元+绩效奖金200元+浮动奖金100-300元+安家费100元+季度分红150元+夜班10元每班，加班按劳动法算，周一到周五1.5倍，周六日2倍，节假日3倍。月休四天，买广州五险一金，每月15号准时发放薪资。
【月综合收入5500-6800元，年底双薪】
【岗位职责】
主要从事打印机、电脑电子，遥控器。无线路由器。摄像头。手机配件的组装，包装，分拣，扫描，贴标签等。各种电子简单轻松工作，易上手，无需工作经验，穿普通工衣上班，全部坐班岗位，两班倒。
【工作时间】
时间：7:00一12:00；下午12:45一5:00；晚上：5:45-7:00，吃饭休息时间也算工资，每天的工资按12个小时算，月休4天，两班倒，有事可以请假。
【住宿环境】
1、免费住宿，公寓宿舍，4-6人间，24小时热水供应，无线网络，饮水机，有空调，热水器，洗衣机，独立卫生间，保险柜等。
【饭堂伙食】
1、公司提供饭堂供餐，每餐3-5元可自由选择，餐费补助230元/月，也可以到特定窗口免费吃，每天有水果及牛奶发放；免住宿费（水电费全免）有电梯服务，宿舍环境舒适4-6人/间，提供24小时热水风扇电话电视房及免费洗衣房
【交通专线】
每天专车往返深圳，东莞，番禺，祈福新村，华景新城，天河，江南西，东圃，开发区西区，东区，黄埔大沙地。
【合同保险】
1、合同：签署正式劳动合同或短期用工协议。
2、保险：入职为员工购买五险一金
以上信息与公司实际情况一致，绝无夸大，公司非常人性化的管理制度，晋升空间非常大！
【工作地址：广州市黄埔区骏成路128号（请勿相信其他中介以免上当受骗)】
【报名方式】
编辑短信“姓名+性别+年龄+捷普”发送至李小姐收到短信会及时回复面试时间，以及乘车路线和地址。",我司主要生产高科技企业电子产品。部门有生产部，组装部，包装部，分拣部，仓库部，质检部等。员工月平均工资5000---6500以上，环境好，福利优，公司始终以“全面创新、不断超越客户期望”为服务宗旨，以高可靠、高品质、高效率和极具竞争力的价格及完善的售后服务，赢得了广大顾客的信任和赞誉。郑重申明：本信息属本厂直招，工资统一由我厂统一打卡发放，招聘信息绝对真实！全程不收取任何费用！凡符合招聘条件者可直接来本厂区参加面试！,,,广州优索人力资源服务有限公司,人力资源服务+电子技术/半导体/集成电路+通信/电信,50-99人,60,66,4月
置业顾问,薪资面议,交通补助;加班补助;话补,"招100人;高中;经验不限,可接收应届生",广州-花都-旧区 广州花都旧区迎宾大道101号深航花园5栋31号,"我们为您提供的福利:1.：底薪+提成（50~70%）+奖金+免费提升培训+出国旅游等，
2.不同职级成熟完善的培训体系,包括:带薪岗位培训,晋升进阶培训等
3.宽阔的晋升空间,不拼爹,不拼背景,拼我们的激情与梦想,一个加速实现你梦想的舞台欢迎你加入我们的团队
任职要求:1.有无经验皆可,优秀应届生,要有积极的学习心态,勇敢开拓事业的决心
2.敬业.尊重自己从热爱工作岗位开始
3.自信,心中时刻充满自信,能主动初级寻找并创造机会
工作内容：1、为客户提供房屋咨询、买卖、租赁服务等相关业务；2、在现有基础上完善盘源客源，挖掘潜在客户，及时将客户信息、盘源信息录入公司系统；3、熟练掌握所负责楼盘详细情况，实地勘察物业状况，确认权属，对物业进行专业评估，签订业务委托书，收取钥匙4、接待客户，提供业务咨询，带客看房、跟进磋商、谈判签约，收集相关资料；5、主动收集市场信息，为公司发展提供合理化建议；6、树立品牌意识，注重把公司品牌宣传贯穿到工作的全过程。","广州正瀛房地产代理有限公司:成立于2007年，在广州市花都区深耕数十载，深得合作伙伴及客户信赖，是一家专业一手营销策划、销售联动；二手专业代理的老字号品牌公司。本公司坚持以：“专业诚信、服务领先;公开资讯、公平交易、顾客至上”的宗旨。致力打造一支具有超强市场竞争力、超多服务平台，超高专业服务水平、开拓创新思维的精英团队。为了让员工快速成长，聚集一批战神级骨干和金牌讲团队，进行一对一培训教学。公司员工拥有广阔的发展空间与晋升合伙人高福利分红的机会。正瀛地产立足本土，迅速引爆大湾区。与员工共同发展，共同进步；引领团队全体成员一起共创、共享、共赢！　
正瀛地产创始人肖正朝先生，于2015年3月份成立“花都地产联盟”，目前成功代理花都、清远、佛山，从化等珠三角各大楼盘，一度成为花都地产界领军团队,专业创造价值，实干瀛得尊重，服务至上！是每个正瀛人的工作之根本；我们也将继续努力，继续进步，继续服务于广大顾客朋友及合作伙伴；相信正瀛公司一定可以继续引领市场，继续书写属于正瀛新的篇章。",,,广州正瀛房地产代理有限公司,租赁服务+房地产/物业管理,100-499人,16,18,20月
